,N,NSim,typeA,Exp_a,Exp_b,mAct_a,stdAct_a,mAct_b,stdAct_b,m_IE,std_IE,m_K,std_K
0,10.0,1000.0,99.0,-0.4,0.2,0.197663348547336,0.37538855173232094,-0.4019920048732122,0.41339744667982375,-0.09168596976285483,0.2427040326875934,0.14595817656313584,0.13528394113261405
1,10.0,1000.0,99.0,-0.4,0.2,0.1891913198349155,0.3659151489442151,-0.30808798339220295,0.3987690004740893,-0.052158057321032215,0.20005950024946348,0.12333938156220625,0.12462531887127304
2,10.0,1000.0,99.0,-0.4,0.2,0.21154325687414816,0.38469828674077405,-0.19409758917064954,0.41098073207074864,-0.05141977609942895,0.2056612494557351,0.11607496018221126,0.12202775566510017
3,10.0,1000.0,99.0,-0.4,0.2,0.208833684994376,0.36507935801933405,-0.09922161688653541,0.4098562284014533,-0.02060621974539405,0.17495146635420716,0.10915805871134496,0.1168929567455564
4,10.0,1000.0,99.0,-0.4,0.2,0.1921892980392589,0.4083669137550093,0.0036524330149087553,0.40551494760144324,-6.496616830112423e-05,0.20235490896887826,0.10632243746535192,0.11466991577426441
5,10.0,1000.0,99.0,-0.4,0.2,0.1963813122087787,0.36413106123643585,0.09584309867681694,0.395596968542385,0.014500809031694956,0.17024449749209464,0.10849476194789728,0.12265675119814036
6,10.0,1000.0,99.0,-0.4,0.2,0.20330880223917286,0.3826211948182675,0.20731465819476902,0.4192173542922862,0.04050921001864312,0.1795967764631531,0.12677714175702848,0.13254017558437167
7,10.0,1000.0,99.0,-0.4,0.2,0.18257377080318396,0.37305176380426947,0.31875888820895854,0.417519031167802,0.05094286438823237,0.2123392282615943,0.13571267499415823,0.14311173044816333
8,10.0,1000.0,99.0,-0.4,0.2,0.19999988296812266,0.37687162575858285,0.4157558507702616,0.3842335719542132,0.07904739302269652,0.22041477121243142,0.15453661781904998,0.15080601028768464
9,10.0,1000.0,99.0,-0.3,0.2,0.20185113347642608,0.36760832113498293,-0.4017244182708341,0.4038317981376307,-0.08593323188840148,0.24252286616545796,0.13971400495493871,0.13607212805591057
10,10.0,1000.0,99.0,-0.3,0.2,0.20471835919762696,0.3625049787900403,-0.30940491514100765,0.40366709526196104,-0.05397025577257434,0.1976269371912175,0.13049227419325435,0.1277393258317097
11,10.0,1000.0,99.0,-0.3,0.2,0.21240472206349575,0.38299261781108324,-0.18482179221066802,0.4136083724509185,-0.04081326540282769,0.18446273414777847,0.11309571409563969,0.11770102210802781
12,10.0,1000.0,99.0,-0.3,0.2,0.21158654076960265,0.3798183187029741,-0.10225304869178567,0.4127308943294117,-0.023605626130803265,0.17572166312362672,0.10795673752215956,0.12085446935935593
13,10.0,1000.0,99.0,-0.3,0.2,0.1978404187517558,0.40750672850196684,0.017747376071180824,0.4004150425440175,-0.008182175213684275,0.18603948544332502,0.09906448992358119,0.10837497658234434
14,10.0,1000.0,99.0,-0.3,0.2,0.18906018506031078,0.385685023089778,0.12169536531220677,0.40902113481206226,0.013939409182581531,0.17973754949192108,0.10617043034547724,0.11631112998587491
15,10.0,1000.0,99.0,-0.3,0.2,0.19644618193881197,0.3793410289557023,0.18849345131288814,0.42389000178539143,0.039085178288155,0.18988479147332846,0.11590226368141418,0.12470847505603763
16,10.0,1000.0,99.0,-0.3,0.2,0.21090529727952018,0.3830771994733872,0.30017773216324317,0.3936250884795577,0.05511169987533648,0.20420759501717572,0.13561382785726545,0.13998581065189705
17,10.0,1000.0,99.0,-0.3,0.2,0.20540962952186878,0.4017432685789784,0.4015561214902312,0.3984796938518547,0.0772649927974457,0.23617884893043853,0.1599690919129584,0.15572941401651666
18,10.0,1000.0,99.0,-0.2,0.2,0.1980465374265101,0.3748678726453721,-0.4234678605731707,0.40629002070484027,-0.08146109767262423,0.22527143131509506,0.1440343719037999,0.14538841853579867
19,10.0,1000.0,99.0,-0.2,0.2,0.20202725655602569,0.39111320122370813,-0.31151571337685113,0.4079529164288862,-0.06835565357021466,0.2103584602655046,0.12627564824690957,0.1278647823536897
20,10.0,1000.0,99.0,-0.2,0.2,0.20406297940635876,0.37804987826151987,-0.17424606504465145,0.42383200406366506,-0.028783791010382795,0.18967559764972242,0.11069243842776327,0.12028852088264837
21,10.0,1000.0,99.0,-0.2,0.2,0.1768739053077113,0.3697941733428744,-0.10619643256076639,0.40752181629456624,-0.023818987064404794,0.16560142180497459,0.10464325574175626,0.11523987545783428
22,10.0,1000.0,99.0,-0.2,0.2,0.207152957292942,0.36924225165832886,0.0016770017443326407,0.4176451235724661,-0.0032668254127821753,0.18217735501883817,0.10405636808788689,0.11503662575554138
23,10.0,1000.0,99.0,-0.2,0.2,0.17608310558817578,0.37413493383394264,0.09262862034957223,0.4015136250255692,0.014952982097823383,0.17418893141371214,0.10387082057876948,0.11737135182211104
24,10.0,1000.0,99.0,-0.2,0.2,0.2030877299420815,0.3807847450315015,0.20233130552727446,0.4072646341539866,0.03226167741327295,0.17949086256706623,0.11752329251057589,0.12138942133395633
25,10.0,1000.0,99.0,-0.2,0.2,0.20378558950709957,0.39417923176328784,0.3116266324956775,0.4048822166351185,0.06613796384283595,0.22534476724703614,0.14004927592672106,0.14798983180645622
26,10.0,1000.0,99.0,-0.2,0.2,0.2120523847506418,0.38275459391556793,0.407632106269301,0.39589298019472224,0.08204317430704512,0.22791883941661406,0.15641718621814937,0.14862085745379172
