,N,NSim,typeA,Exp_a,Exp_b,mAct_a,stdAct_a,mAct_b,stdAct_b,m_IE,std_IE,m_K,std_K
24,10.0,1000.0,99.0,-0.2,-0.2,-0.20362062764183317,0.3530670180084046,0.204221654881443,0.39092980529036797,-0.04206338773060799,0.1737727488371943,0.10975411097891849,0.1155328769219499
25,10.0,1000.0,99.0,-0.2,-0.2,-0.18242801655122917,0.3844386857389251,0.3016519418227305,0.417614251607791,-0.0544879064197376,0.21783854309430153,0.12743053686185296,0.13258442163269593
26,10.0,1000.0,99.0,-0.2,-0.2,-0.18654397424241437,0.373096884895404,0.3928356159146572,0.4059875364088716,-0.0644581091600141,0.22287224686194046,0.14659895531518613,0.13874702134894448
27,10.0,1000.0,99.0,-0.1,-0.2,-0.19509150614670798,0.3782834921993762,-0.3809963397907976,0.4062813032314961,0.0701703650334751,0.215242263109881,0.14017178779356604,0.14078523353098876
28,10.0,1000.0,99.0,-0.1,-0.2,-0.20893526410276808,0.37963728114598666,-0.3057998408264345,0.3830243292986526,0.06264424640218894,0.19492700273622474,0.12915134499433856,0.12981830807302466
29,10.0,1000.0,99.0,-0.1,-0.2,-0.21339175126958337,0.38894596640117063,-0.23131728023454728,0.42213800905534865,0.04444505818246324,0.20043449452718523,0.12326913504735285,0.12366680775956639
30,10.0,1000.0,99.0,-0.1,-0.2,-0.18950554370615771,0.3717652188746179,-0.1184853126137529,0.3968189227585417,0.02606567810584636,0.1891252720110436,0.10679625280003739,0.12152395644625774
31,10.0,1000.0,99.0,-0.1,-0.2,-0.21883826483422114,0.35794207846344506,0.0022904352138742442,0.397884069452397,-0.0034777231331381124,0.16601871749929573,0.10253964767596147,0.11017536285380335
32,10.0,1000.0,99.0,-0.1,-0.2,-0.2191831027642498,0.37119496966997945,0.1265228954822467,0.4134620269132822,-0.02341617761666712,0.17655121867675655,0.10616762708053762,0.11512358104399331
33,10.0,1000.0,99.0,-0.1,-0.2,-0.19058178452830554,0.36694243814421684,0.18627793138456658,0.4226777675004534,-0.038765741941110134,0.19892704837284922,0.11292438767034944,0.126526134905004
34,10.0,1000.0,99.0,-0.1,-0.2,-0.18678227927631014,0.371280011294791,0.3119463570609877,0.39591477304837497,-0.056675031404114076,0.19375818656091148,0.1260385885599173,0.1248026901416516
35,10.0,1000.0,99.0,-0.1,-0.2,-0.19375596970201886,0.37514151040758426,0.40420885501293186,0.4150001944351445,-0.0839000735939595,0.22569762186552322,0.14770444992746543,0.14202886957747174
36,10.0,1000.0,99.0,0.0,-0.2,-0.19891333656425486,0.38179010021480514,-0.3970647561651331,0.4041384287456464,0.068858138391783,0.24719663706053357,0.1529865522282576,0.14592517282535505
37,10.0,1000.0,99.0,0.0,-0.2,-0.19843030939591028,0.39200503853896734,-0.3056652197043489,0.39541524920250015,0.052967449500724545,0.21458321025290392,0.13111766180039625,0.12614381134687117
