,N,NSim,typeA,Exp_a,Exp_b,mAct_a,stdAct_a,mAct_b,stdAct_b,m_IE,std_IE,m_K,std_K
15,10.0,1000.0,99.0,-0.3,0.4,0.41176342826289414,0.3758571981963787,0.19535702159729293,0.38513008180121433,0.07394739949616681,0.2333342456421442,0.15110199142952513,0.14525324468667436
16,10.0,1000.0,99.0,-0.3,0.4,0.39524309404680924,0.3856800332057285,0.33013902577919835,0.409825963320406,0.13257261200127055,0.2726379383662068,0.17943992936833456,0.166857108629861
17,10.0,1000.0,99.0,-0.3,0.4,0.39696759212872984,0.3890184318166257,0.39200749105546695,0.40830788967034204,0.1560845686373264,0.26843934764279487,0.20408734759282057,0.1775601355004947
18,10.0,1000.0,99.0,-0.2,0.4,0.381958607610976,0.3790669293786121,-0.3961554301134456,0.42949700591706724,-0.15110699473871464,0.27718108251793844,0.18806614622562387,0.16053167380841815
19,10.0,1000.0,99.0,-0.2,0.4,0.40759523288056254,0.3600278655155139,-0.2909111201459089,0.4131411233659368,-0.11644783902776604,0.24427559284127637,0.1550199060381557,0.14714070555382766
20,10.0,1000.0,99.0,-0.2,0.4,0.3874071666725631,0.40063856510724183,-0.1889602355161251,0.40093722285394207,-0.07279036273923942,0.22254638798406595,0.13956053012720332,0.13463970492718816
21,10.0,1000.0,99.0,-0.2,0.4,0.41587411165386795,0.3549975642297194,-0.11770668199739766,0.40546991796935694,-0.05813360940653206,0.2254518663481881,0.13860688920267272,0.13357448419554976
22,10.0,1000.0,99.0,-0.2,0.4,0.4017771916637616,0.3886501437901844,-0.02335946694171414,0.4092742043136448,-0.015853878721552073,0.25914158667134346,0.12912404533663435,0.12533840816171005
23,10.0,1000.0,99.0,-0.2,0.4,0.38964936772595166,0.37911781800109945,0.10273938727111157,0.4087498270586353,0.03585948060655507,0.226346717017867,0.137030937620931,0.1409581729722357
24,10.0,1000.0,99.0,-0.2,0.4,0.3684489907563757,0.38390630673276277,0.1896607589746739,0.4113975806898165,0.06743730963462868,0.2231366330480727,0.14359252753086202,0.1401937484437736
25,10.0,1000.0,99.0,-0.2,0.4,0.40535180663150083,0.37622911909356527,0.30126127626239313,0.40118422344384946,0.12651054246915852,0.24989608920595413,0.17164537243144867,0.1571611073729339
26,10.0,1000.0,99.0,-0.2,0.4,0.41747941685640033,0.3764566075281043,0.40148646980831487,0.40023473136306364,0.16982489381645205,0.2689456918859506,0.20122908679768284,0.1745192495225037
27,10.0,1000.0,99.0,-0.1,0.4,0.3993068696518346,0.387126443292244,-0.4002973939958358,0.4148121446491809,-0.15417172079479274,0.281200957132704,0.1881363563179454,0.16021525291607258
28,10.0,1000.0,99.0,-0.1,0.4,0.41135835557813605,0.36958443026930915,-0.29413511628344763,0.4068037614746528,-0.11244847261062811,0.24044790866327384,0.16153572578134823,0.14397175085119127
29,10.0,1000.0,99.0,-0.1,0.4,0.4016649736592259,0.3713098282126429,-0.2163972542180092,0.4029904395882354,-0.09300981156771951,0.24344442462888183,0.14604643005666124,0.14562365362351307
