,N,NSim,typeA,Exp_a,Exp_b,mAct_a,stdAct_a,mAct_b,stdAct_b,m_IE,std_IE,m_K,std_K
0,10.0,1000.0,99.0,-0.4,0.1,0.1127021388542552,0.36915121698791736,-0.40019562399499364,0.43810793552207045,-0.04455443207946017,0.2178402707967492,0.13359470982194627,0.1249154305518794
1,10.0,1000.0,99.0,-0.4,0.1,0.08969298919178377,0.3870605876566794,-0.27785292302825104,0.3944850890824894,-0.020536008390183973,0.19856386793750577,0.11009850076407707,0.11800863842649117
2,10.0,1000.0,99.0,-0.4,0.1,0.10262706446132552,0.394970979237521,-0.2096470194020745,0.41722085314765145,-0.020085576266475943,0.18856510157441606,0.11245213907005021,0.12268557503123512
3,10.0,1000.0,99.0,-0.4,0.1,0.11128054059933572,0.3721210648273252,-0.10527542161947889,0.4129974578453181,-0.006765697827841353,0.16595255050615743,0.09935985085667241,0.10902364550858959
4,10.0,1000.0,99.0,-0.4,0.1,0.10111324090261165,0.4054551855540904,-0.01211791586749269,0.4108325559714532,0.004046492630750477,0.1644481515350456,0.09846227030314691,0.1104605879741304
5,10.0,1000.0,99.0,-0.4,0.1,0.1031843186912254,0.3680715234773542,0.09329361082206634,0.4142922789196435,0.00908726789149182,0.16822542165208432,0.09746112085808463,0.1173577484515389
6,10.0,1000.0,99.0,-0.4,0.1,0.10377248992709319,0.38735870213832413,0.2022342330370068,0.40618346615483897,0.024710467111324012,0.16786579756915643,0.110394431781073,0.11871958353405235
7,10.0,1000.0,99.0,-0.4,0.1,0.09833713113476734,0.39546886868525644,0.30306334920679223,0.3943603814117012,0.03131853631590978,0.1959055853832646,0.12365973684813597,0.13317588054492813
8,10.0,1000.0,99.0,-0.4,0.1,0.09873133391049052,0.3648469280840528,0.4071386256865821,0.3969232604046266,0.034538071273299484,0.20660618690224436,0.13749545001289107,0.1322285312498004
9,10.0,1000.0,99.0,-0.3,0.1,0.11175356559759811,0.37762030961457205,-0.40396585231833054,0.40216114896134586,-0.04162055169506248,0.22034442713138372,0.1313171468745127,0.12642455373888511
10,10.0,1000.0,99.0,-0.3,0.1,0.09362813200845976,0.39487083269639783,-0.33214992169166707,0.3962519045216716,-0.029822893356761353,0.20206276868376594,0.12707848967694071,0.12818785309619188
11,10.0,1000.0,99.0,-0.3,0.1,0.1093499173086006,0.3817100184935209,-0.19330105218128318,0.3932023867363718,-0.024076480757512612,0.1841524737192329,0.10429826819779561,0.11978341765590807
12,10.0,1000.0,99.0,-0.3,0.1,0.10669914105092299,0.3765243931284898,-0.08860492222447547,0.40356169443381995,-0.008497824435094125,0.169800086365592,0.09788907552827113,0.10978054823626349
13,10.0,1000.0,99.0,-0.3,0.1,0.11766086283367358,0.36899157847638464,-0.005181665118556982,0.4083201066917505,-0.009490710470545914,0.15320223531685456,0.09284806871177702,0.10579000791499026
14,10.0,1000.0,99.0,-0.3,0.1,0.10785921275708049,0.4077670747259529,0.1001779248290436,0.40151342125225814,0.014786139269867939,0.1697851458389306,0.09905133345208361,0.11113304839227865
15,10.0,1000.0,99.0,-0.3,0.1,0.11475737472942792,0.3849011988116735,0.19317204509878153,0.40797021162276037,0.022570693042036027,0.17536357095004812,0.1072622490870946,0.11632378863024945
16,10.0,1000.0,99.0,-0.3,0.1,0.09208745660696814,0.37815464089750933,0.3095020048435808,0.4149444794183183,0.025501373322647986,0.20186567020060023,0.1210994245561234,0.12985810926525415
17,10.0,1000.0,99.0,-0.3,0.1,0.11361762754593249,0.38975774764135324,0.40257811581311703,0.4185133567847944,0.05189959669318479,0.22630826137983373,0.14304456146460007,0.14232586237320974
18,10.0,1000.0,99.0,-0.2,0.1,0.09911626669461394,0.3936570389895661,-0.39204552075812793,0.38643425850829366,-0.04362300755070557,0.21117807586127987,0.13529197138048413,0.13293472919024782
19,10.0,1000.0,99.0,-0.2,0.1,0.11028948246755002,0.36033698702939215,-0.29290633610815714,0.41520744610616456,-0.03683580588669491,0.20315199150466642,0.11825201754718748,0.12218665401055699
20,10.0,1000.0,99.0,-0.2,0.1,0.09550366413753736,0.3792083736529108,-0.18116548088705375,0.41122195271498657,-0.01298186945981022,0.1700647454873772,0.09856001744807105,0.103607899614123
21,10.0,1000.0,99.0,-0.2,0.1,0.08171796021232894,0.37407289926372156,-0.10996229399406192,0.38150757566392046,-0.0029901366613341892,0.1457841917288017,0.08610551355525578,0.09670409459262393
22,10.0,1000.0,99.0,-0.2,0.1,0.08239461834731092,0.35864526604758856,-0.011855451257088964,0.41129466818807664,0.006399242522605595,0.16611095393796504,0.09216137012920345,0.10928800246358805
23,10.0,1000.0,99.0,-0.2,0.1,0.10114857578079198,0.36277022484590343,0.11662421465799216,0.4040971517495165,0.015353123707382657,0.144576728379848,0.09404109695566443,0.10344385906376023
24,10.0,1000.0,99.0,-0.2,0.1,0.09246982310472124,0.3922332175838255,0.18566766361139253,0.43045528051624415,0.012193669960892562,0.1896201748607479,0.1078895283736717,0.12054043683199614
25,10.0,1000.0,99.0,-0.2,0.1,0.09836281664405112,0.39081547617440454,0.3082848352922057,0.3962598384978024,0.028181476693864588,0.19996547113455523,0.12213653663832541,0.12601769088031367
26,10.0,1000.0,99.0,-0.2,0.1,0.09066100867797287,0.3792246877067207,0.38367463972714155,0.4145863302086836,0.03443664746021196,0.2190800258407293,0.13121723174810568,0.1369180681590075
27,10.0,1000.0,99.0,-0.1,0.1,0.09927355883584914,0.37551145216720716,-0.40121038000219067,0.4367407367015847,-0.03965908766822259,0.21686934117553247,0.13749593796559811,0.1374050480822859
28,10.0,1000.0,99.0,-0.1,0.1,0.08731411454862216,0.37498291404902695,-0.3013514141583281,0.4136046429531413,-0.023779602943591868,0.1888594219499291,0.11576281372714353,0.12575322527911267
29,10.0,1000.0,99.0,-0.1,0.1,0.11130030540147853,0.3845820279039934,-0.2058932494111417,0.40694703052217446,-0.017559649116204754,0.18832777038592521,0.10445309071208655,0.11703280458485778
30,10.0,1000.0,99.0,-0.1,0.1,0.10243863352366689,0.37013717454959694,-0.11022163979421004,0.40293342623082984,-0.008452120688274846,0.16816882017764961,0.09682893192832547,0.10920643694934967
31,10.0,1000.0,99.0,-0.1,0.1,0.09803958518888799,0.3902043769096383,0.0009964009274231027,0.38965322292660554,-0.009103073729635477,0.15244834939968901,0.0860561632103697,0.09797478685246803
32,10.0,1000.0,99.0,-0.1,0.1,0.0913719985712847,0.40142059581444695,0.09008464145586055,0.40017914344515604,0.01505885385355694,0.16278007350035906,0.099496859998908,0.11621572760974973
33,10.0,1000.0,99.0,-0.1,0.1,0.10525764372452998,0.37520813322969626,0.22009858689978246,0.4136631468673466,0.02655722102660205,0.17601700357852107,0.10444057372912029,0.11593551857744831
34,10.0,1000.0,99.0,-0.1,0.1,0.10605055736607034,0.3597563977418162,0.32164425044511163,0.4280917099818685,0.03455169073586049,0.21984365420734134,0.124673585467335,0.13070292779084447
35,10.0,1000.0,99.0,-0.1,0.1,0.11814172890226875,0.3680302933634502,0.3916900237586797,0.4051059979307007,0.039941641356124435,0.21316206556711165,0.13767057733982596,0.13929639528845178
36,10.0,1000.0,99.0,0.0,0.1,0.09533384345740795,0.3834437399835778,-0.38133962639733904,0.40558541140048,-0.043170864684438516,0.2222666507862332,0.13157253445490186,0.13398917717134937
37,10.0,1000.0,99.0,0.0,0.1,0.1060166375226074,0.36012535852397765,-0.29162880059287954,0.4213286087019805,-0.025627260975419768,0.18007846666492802,0.11404225768656313,0.11822585235030277
38,10.0,1000.0,99.0,0.0,0.1,0.07757341930464898,0.3897148980417761,-0.18848630575343128,0.4003689420775951,-0.022799732123598957,0.19699226290546937,0.10577719334886103,0.11630632695980489
39,10.0,1000.0,99.0,0.0,0.1,0.10463668668015806,0.35534658929608,-0.10898274922777869,0.38638802406147144,-0.010651526972695748,0.15932820250353552,0.09289674680469472,0.10812305171290859
40,10.0,1000.0,99.0,0.0,0.1,0.1113248184473211,0.37493637376688466,-0.02557984380624179,0.4103064952093332,0.002287367496915418,0.15496616960571033,0.09329197766064845,0.11432674529303431
41,10.0,1000.0,99.0,0.0,0.1,0.08965759790637319,0.3756367914659698,0.10540921539792718,0.3927690090404385,0.0074207963736705905,0.15726298738330222,0.09325506136839909,0.10856198634703253
42,10.0,1000.0,99.0,0.0,0.1,0.11815461955699208,0.37740187677339554,0.22559447961157475,0.39681263908636916,0.02071131912412965,0.18186865935034377,0.1064524263846149,0.11496159886851412
43,10.0,1000.0,99.0,0.0,0.1,0.0848027466804109,0.38527920674067573,0.3060900456521326,0.42575023917084476,0.029349589086766614,0.20368753577325407,0.11838391979059609,0.12922165974887623
44,10.0,1000.0,99.0,0.0,0.1,0.09113980479121503,0.3824738850946775,0.3969292933259919,0.4132395838162057,0.034695694129198894,0.20893889903573787,0.13092094080516103,0.1285454033169721
45,10.0,1000.0,99.0,0.1,0.1,0.09790446449782374,0.3656034384801251,-0.39225306775033,0.4191218274713012,-0.04288787802753682,0.21615667448367212,0.12949302522428002,0.1325655889417611
46,10.0,1000.0,99.0,0.1,0.1,0.09037416551554645,0.37172816170314144,-0.28553395843409385,0.39719765663376194,-0.024868243137297387,0.17991372876016026,0.11520820834678937,0.12255138108519631
47,10.0,1000.0,99.0,0.1,0.1,0.0893197915898736,0.3721311267240603,-0.20994438198835896,0.39766665378480764,-0.012494460793473793,0.16685621564815542,0.10186212336275037,0.10902607124074185
48,10.0,1000.0,99.0,0.1,0.1,0.10819800172338122,0.34624395635593297,-0.1047713332550922,0.4358606436839735,-0.012637447399926336,0.1621084496785969,0.10134327582780564,0.11882579547174746
49,10.0,1000.0,99.0,0.1,0.1,0.1089072273591345,0.37876647652001844,-0.02718187118130595,0.3929466885214673,-0.00988173890116244,0.1544288474013566,0.09448063012219857,0.11253045364039818
50,10.0,1000.0,99.0,0.1,0.1,0.11729354451915659,0.3774326665527713,0.10222719534717381,0.40845561076737247,0.018606133835408066,0.18389097804898447,0.09537413419424798,0.11117917180894644
