,N,NSim,typeA,Exp_a,Exp_b,mAct_a,stdAct_a,mAct_b,stdAct_b,m_IE,std_IE,m_K,std_K
0,10.0,1000.0,99.0,-0.4,-0.1,-0.10275575072237617,0.35406105184970427,-0.380068532857068,0.40994714317891795,0.04138878350472614,0.2124195941926443,0.13673395212499245,0.14385658923521713
1,10.0,1000.0,99.0,-0.4,-0.1,-0.1014131036523554,0.3776671770080029,-0.313409993019752,0.3990554856348132,0.02057307342464437,0.1987850720346149,0.1238580869678531,0.12964164367743117
2,10.0,1000.0,99.0,-0.4,-0.1,-0.11179497831058899,0.3704336715577316,-0.19604001801476198,0.39834545315988595,0.026821840114910855,0.16332699326657427,0.11110461403086892,0.1222899152063868
3,10.0,1000.0,99.0,-0.4,-0.1,-0.09425827965318626,0.3660980490708342,-0.09771531431102153,0.40540411350200173,0.012609392230280776,0.15310935754175053,0.10348001830048772,0.11585430295213776
4,10.0,1000.0,99.0,-0.4,-0.1,-0.10483998476348097,0.3733726253654772,8.91447639911318e-05,0.4301006449963236,0.005387513508231644,0.16435332441025743,0.10435118897253698,0.1157907083496203
5,10.0,1000.0,99.0,-0.4,-0.1,-0.0925360719821502,0.3793126116906478,0.09431962818340012,0.41244343356355895,-0.016063801368029543,0.16369264991027133,0.09446509765164283,0.10152159451007563
6,10.0,1000.0,99.0,-0.4,-0.1,-0.0978085485624683,0.37987103983833487,0.2221567731010191,0.41588110381654586,-0.020675364729796874,0.18908293232031287,0.1093378562607415,0.11524510141675462
7,10.0,1000.0,99.0,-0.4,-0.1,-0.0752635081250941,0.3615659934777017,0.30824782987313365,0.4080839854096198,-0.029876027291170785,0.191538500351562,0.11961889934454012,0.12357114863639888
8,10.0,1000.0,99.0,-0.4,-0.1,-0.09331592904851883,0.4018073074152328,0.4052985852455834,0.40846908974768825,-0.04252182245252902,0.2461201175257382,0.13613379961945588,0.13889313926831867
9,10.0,1000.0,99.0,-0.3,-0.1,-0.09189061096855237,0.35151645999369463,-0.40670744746308185,0.4168384325225335,0.03288315717714337,0.2142433463859831,0.13764630074278777,0.13634875249144812
10,10.0,1000.0,99.0,-0.3,-0.1,-0.10033057557023868,0.3787073337161172,-0.3088971121044393,0.41052627626637217,0.03371881625741682,0.19481668271606187,0.1279930800729667,0.13294829056106353
11,10.0,1000.0,99.0,-0.3,-0.1,-0.1339567212168624,0.3793164813979028,-0.20264283301682276,0.4156355558165581,0.019867782385664313,0.21768448681770233,0.10946789290909832,0.12230055561930789
12,10.0,1000.0,99.0,-0.3,-0.1,-0.10128860767841433,0.39577413304923653,-0.09271993253063916,0.3980842034006279,0.007845007414508342,0.15900565960841237,0.10122305061858825,0.10733801033669942
13,10.0,1000.0,99.0,-0.3,-0.1,-0.09499761119021256,0.38529756247199193,-0.007398643124211039,0.41807787277677666,-0.005115932268428377,0.17136826855081216,0.09685195914727557,0.11005427482454508
14,10.0,1000.0,99.0,-0.3,-0.1,-0.11852295041688844,0.37833061297131815,0.0927647320771497,0.38719583726946766,-0.013499106670098352,0.15334917309638668,0.0938208812490121,0.10791533535111245
15,10.0,1000.0,99.0,-0.3,-0.1,-0.09447090724094218,0.3871947183831295,0.18683544410581032,0.3886177621935526,-0.016418765634904103,0.16551036061120672,0.10221088722646388,0.10792597519210319
16,10.0,1000.0,99.0,-0.3,-0.1,-0.08625580512077638,0.37377080706488286,0.3116602608921462,0.43323432816174123,-0.025228985353674932,0.2108391147430696,0.12420551070294439,0.13056794677116054
17,10.0,1000.0,99.0,-0.3,-0.1,-0.09601265948850171,0.4033366358539705,0.40108558974147285,0.4204086934796466,-0.03611869388499852,0.23504616677970136,0.1454475165214053,0.14061431392201937
18,10.0,1000.0,99.0,-0.2,-0.1,-0.09189477115983077,0.3865554705928756,-0.41026262925646234,0.40376788973508143,0.032780308356535885,0.21903693552763873,0.14530061811345438,0.14083246554217121
19,10.0,1000.0,99.0,-0.2,-0.1,-0.10181074265441674,0.3738918772166015,-0.3093975040191477,0.4152351840366305,0.026329271503844235,0.19427385939861574,0.11947364359319378,0.1207872515452839
20,10.0,1000.0,99.0,-0.2,-0.1,-0.08645903147582422,0.37806082140366215,-0.19135498241730464,0.4212630238273782,0.009204642425780101,0.1761196825059491,0.11010144847814154,0.11302185630614327
21,10.0,1000.0,99.0,-0.2,-0.1,-0.11292253941875727,0.3970430858523756,-0.07695291139428855,0.41290411179914116,0.007600657889637963,0.18090095083674296,0.1047872341594522,0.11673406871053349
22,10.0,1000.0,99.0,-0.2,-0.1,-0.10288996448898007,0.3895628060331743,0.015600233839135507,0.42809747621153793,0.0008139886961056674,0.17117248190384257,0.10048652923485141,0.11465171431749067
23,10.0,1000.0,99.0,-0.2,-0.1,-0.09844953767793664,0.3600094463976615,0.12412600911596709,0.3973781153701215,-0.017506820605797217,0.1462921040413374,0.09488851340953491,0.10604924366153667
24,10.0,1000.0,99.0,-0.2,-0.1,-0.10728523801125199,0.3914270361465777,0.20063895919988475,0.4177596142834107,-0.016885748915931163,0.19760905810799703,0.109211874051687,0.12101028194412078
25,10.0,1000.0,99.0,-0.2,-0.1,-0.11315356047396873,0.38355688324002374,0.3153057282622268,0.4102216030299976,-0.02985859470666399,0.19818864622501964,0.11720611047975589,0.11770247358141014
26,10.0,1000.0,99.0,-0.2,-0.1,-0.08376779087198166,0.3855211118304384,0.3873483872535171,0.41338428382046205,-0.023435119388225543,0.21437214349762307,0.13221677512283664,0.13041992817940523
27,10.0,1000.0,99.0,-0.1,-0.1,-0.08533911638762375,0.38793063928952326,-0.3776628194943358,0.38713819640502256,0.03873124040780056,0.2110278967699907,0.12793765886738018,0.12502177912734366
28,10.0,1000.0,99.0,-0.1,-0.1,-0.11350007647002931,0.3696790432429864,-0.30383850495798764,0.41271085446392314,0.028999846661629525,0.20051360831437562,0.11737842404155478,0.12394738104889422
29,10.0,1000.0,99.0,-0.1,-0.1,-0.08637360148259526,0.3783792872911932,-0.19358801715749202,0.4314560215886171,0.0143173122911091,0.1837372673829329,0.1111015045534986,0.11561781506673097
30,10.0,1000.0,99.0,-0.1,-0.1,-0.12592565284922033,0.38925941401953573,-0.06621933039434268,0.39785250877777195,0.015118470042697667,0.1675033351259908,0.09745693681087107,0.1101883023888525
31,10.0,1000.0,99.0,-0.1,-0.1,-0.07470717442198702,0.36599002741033604,0.007776830952777924,0.4489478775676847,-0.004986273383328424,0.17705096297260872,0.09663470396170327,0.11633309392658803
32,10.0,1000.0,99.0,-0.1,-0.1,-0.10509668249051993,0.38561385458748143,0.10110028443849987,0.4161359440607473,-0.014222084062605358,0.1717219229129337,0.1002765703603778,0.11708436044985507
33,10.0,1000.0,99.0,-0.1,-0.1,-0.12418443233943313,0.3738488637470677,0.19659536266003624,0.41542944059530945,-0.02352599421579822,0.1859369281336869,0.10629460557881092,0.11696903966459692
34,10.0,1000.0,99.0,-0.1,-0.1,-0.1065861862262178,0.38658460247215415,0.30890815677267447,0.4145174591744915,-0.02864195232636844,0.19545273458038098,0.11539978042605409,0.12295693392714754
