,N,NSim,typeA,Exp_a,Exp_b,mAct_a,stdAct_a,mAct_b,stdAct_b,m_IE,std_IE,m_K,std_K
0,10.0,1000.0,99.0,-0.4,-0.3,-0.28505266077364927,0.38140399861467195,-0.39822191936375045,0.39856471598345733,0.10938349981775923,0.24030353420645137,0.17569174838942742,0.17015366989873357
1,10.0,1000.0,99.0,-0.4,-0.3,-0.3239540038379216,0.39991699266358244,-0.31137036003227875,0.39049753042092095,0.10018914339400817,0.25514895223905887,0.1630000506547749,0.1601550635134187
2,10.0,1000.0,99.0,-0.4,-0.3,-0.29832403380034056,0.36664661889534667,-0.176322507186892,0.40718023793636926,0.05205572956770432,0.2010986395935573,0.1368255092200135,0.13939789490007762
3,10.0,1000.0,99.0,-0.4,-0.3,-0.2816078411841733,0.3739236416200445,-0.09058328082059876,0.4148975336463814,0.022219912561893793,0.19789775787437955,0.12162017743647527,0.12716799200685175
4,10.0,1000.0,99.0,-0.4,-0.3,-0.31264405561317404,0.3819995684845655,-0.018525715206024713,0.3854159871819586,0.0056696029429876595,0.18848022180499144,0.10996959202153116,0.12260606142135584
5,10.0,1000.0,99.0,-0.4,-0.3,-0.3058376434394323,0.3706551489417032,0.08699907267340547,0.40585231777909947,-0.023948104425263548,0.19023868630384286,0.11833480969870754,0.11945287244306702
6,10.0,1000.0,99.0,-0.4,-0.3,-0.2882867890346747,0.37324503810508564,0.1797241263545763,0.39683578022627164,-0.05009196995414192,0.1944878053737035,0.12463949319127686,0.1221254430103992
7,10.0,1000.0,99.0,-0.4,-0.3,-0.31030209393715974,0.3806486393062989,0.2991179161688338,0.4079368368918139,-0.09670009580799882,0.23507952872353455,0.14947524978795315,0.1392119182968563
8,10.0,1000.0,99.0,-0.4,-0.3,-0.2928178600946884,0.3892538655046337,0.37551017479740995,0.3880227497234516,-0.11443256842296658,0.23870535975935187,0.1563527989717156,0.1367773210684419
9,10.0,1000.0,99.0,-0.3,-0.3,-0.2939418210825481,0.36093501218298996,-0.38192392372025075,0.41511773353227616,0.11182508426695902,0.24745415291605266,0.17578127772659047,0.16072704876629645
10,10.0,1000.0,99.0,-0.3,-0.3,-0.30898355132283817,0.39494891873950877,-0.31283096881386724,0.41589332345333296,0.09210008871646343,0.23917463709889705,0.15827473105711984,0.15862228574232565
11,10.0,1000.0,99.0,-0.3,-0.3,-0.29224635547002026,0.3821488345191813,-0.1936048933976503,0.4350095763735706,0.0584818828098979,0.2308757718123514,0.13791496266593534,0.13982887455308005
12,10.0,1000.0,99.0,-0.3,-0.3,-0.30834210853310573,0.3605229583938319,-0.10188339129618808,0.3971366076246187,0.020947514637506864,0.18035407506671727,0.1184065705109993,0.11836637758187822
13,10.0,1000.0,99.0,-0.3,-0.3,-0.3147327995334884,0.36742791687393145,-0.01549217130534455,0.4073073985977212,0.004647399319975681,0.205219986659887,0.12269314914663589,0.13094894976136098
14,10.0,1000.0,99.0,-0.3,-0.3,-0.3067910013041629,0.3865721044938406,0.11263574717815904,0.4047646739700833,-0.028269281255260768,0.21189728236860134,0.12181143317753779,0.13012068971862828
15,10.0,1000.0,99.0,-0.3,-0.3,-0.2987776356331536,0.37434897345632123,0.19075469082917396,0.4045574570715001,-0.04615135051209492,0.21763912008757288,0.12477929585193136,0.1255166938680203
16,10.0,1000.0,99.0,-0.3,-0.3,-0.3034570868404186,0.37929738285896597,0.30281690449776477,0.4285295126027124,-0.10029729882208677,0.25055217618487663,0.14682276651024767,0.1492772927864918
17,10.0,1000.0,99.0,-0.3,-0.3,-0.29907595339361015,0.3922027689160902,0.3967588121928812,0.4354447394727579,-0.11976636385827587,0.25906756744888454,0.16191032978637526,0.1399899535429538
18,10.0,1000.0,99.0,-0.2,-0.3,-0.30342340070695795,0.38477813778383857,-0.4048842669127363,0.4128919258780674,0.11540672386932949,0.24504191463894928,0.17831792900448679,0.16509753329619833
19,10.0,1000.0,99.0,-0.2,-0.3,-0.3009478166024455,0.37879981546535485,-0.2748897579231224,0.401545367567753,0.07459954160058471,0.23098850020248796,0.14642156946062407,0.15137192574423264
20,10.0,1000.0,99.0,-0.2,-0.3,-0.31004377097086955,0.3649772134587422,-0.19481814407145764,0.39572659190827025,0.05968952118061915,0.1985483307924905,0.13135442310778844,0.1397309795508431
21,10.0,1000.0,99.0,-0.2,-0.3,-0.31300134841058486,0.36306182310853846,-0.10447702998307212,0.407736191969471,0.03249241750977582,0.20779228819554815,0.12745916303681004,0.1307522055661125
22,10.0,1000.0,99.0,-0.2,-0.3,-0.30094663958466583,0.37003066904410997,-0.008326937980694496,0.42204564825402996,-0.0023400253660585016,0.20775574506845154,0.1167572645252028,0.12609789428266474
23,10.0,1000.0,99.0,-0.2,-0.3,-0.31800506687663493,0.362946159178513,0.1143968658078443,0.39420829565457194,-0.03793407829075613,0.18126753690652253,0.11737587650388684,0.11765230289859809
24,10.0,1000.0,99.0,-0.2,-0.3,-0.2960817381428076,0.3710241533764465,0.1770323169838468,0.4141587998854746,-0.05385772491521448,0.20242785768544463,0.12664303209312947,0.12484920513551627
25,10.0,1000.0,99.0,-0.2,-0.3,-0.3198444776724848,0.389190513678131,0.2829025945513228,0.4102493020068958,-0.08140067411177103,0.23025321176412422,0.13820389732825442,0.13299400593367075
26,10.0,1000.0,99.0,-0.2,-0.3,-0.30463630071292946,0.39232059289036925,0.4038224856644756,0.43134406218142046,-0.11869415323952828,0.26495966497208895,0.16330699213466482,0.15224823598952658
27,10.0,1000.0,99.0,-0.1,-0.3,-0.30033733197951235,0.35480123842454303,-0.4103227852351889,0.4065071661108261,0.11280039670632495,0.24364617617821258,0.17082963654863453,0.15448827499888623
28,10.0,1000.0,99.0,-0.1,-0.3,-0.30931858294677134,0.3644876302448251,-0.30212857523609604,0.42339416997330326,0.0882489345673498,0.2230260173675433,0.15055890671569985,0.15163346646712247
29,10.0,1000.0,99.0,-0.1,-0.3,-0.30580809269057113,0.3840028391050779,-0.20438724711994274,0.40481029970780635,0.060228265239866456,0.2243316790292214,0.13669372601994811,0.14129703662014434
30,10.0,1000.0,99.0,-0.1,-0.3,-0.3112785826059495,0.3742871570557792,-0.13289982959912255,0.4096414551812872,0.04647175929805343,0.20239674254013626,0.12606695396487577,0.12876537313799047
31,10.0,1000.0,99.0,-0.1,-0.3,-0.309247736675546,0.3762088446551746,-0.00886218701312844,0.40466740830937187,0.010999861046390606,0.20476404876978146,0.11891572394869213,0.1281435274240635
32,10.0,1000.0,99.0,-0.1,-0.3,-0.30291175888362304,0.3660689108939764,0.09004156775410734,0.3906105617624335,-0.0250525262467798,0.1805478787053753,0.11335643863727397,0.11882239919224505
33,10.0,1000.0,99.0,-0.1,-0.3,-0.3092079615969227,0.38844639836727907,0.18391888887429922,0.42854805590976974,-0.05043632225829903,0.22557295774455766,0.13121689321989177,0.13809247138338235
34,10.0,1000.0,99.0,-0.1,-0.3,-0.2989667320582795,0.37401898836092773,0.28870481388339986,0.4038561390974999,-0.08728429233893453,0.2156859182586182,0.1404571898757674,0.14294676881443166
35,10.0,1000.0,99.0,-0.1,-0.3,-0.31215333640883614,0.38087842761518625,0.42479938074358214,0.4012173180367235,-0.14335155450063633,0.27266009406484076,0.17623530083900146,0.16272113774338112
36,10.0,1000.0,99.0,0.0,-0.3,-0.29898410806425385,0.36853352081642393,-0.41567816030927457,0.4279241351328131,0.11814762752739183,0.24668868666722749,0.17050731539414962,0.162350527589096
37,10.0,1000.0,99.0,0.0,-0.3,-0.3034485530761575,0.3759014250884021,-0.3064066751073258,0.4013775205809705,0.09604390534820852,0.22783344770346747,0.14654835462681592,0.14424728565707665
38,10.0,1000.0,99.0,0.0,-0.3,-0.28177798731481335,0.3658647920323735,-0.1856197318409109,0.40567784780757776,0.045724840718902864,0.2036206227242107,0.12826347212873337,0.12783793826119233
39,10.0,1000.0,99.0,0.0,-0.3,-0.2878683794416741,0.3767721464362493,-0.10902205656445389,0.3946592413012877,0.03048720533649414,0.19558569740798737,0.11710431400847204,0.12413007334866824
40,10.0,1000.0,99.0,0.0,-0.3,-0.2971119981573198,0.3847433653783463,-0.031869365835910664,0.4084060276467725,-0.0018098983168387823,0.2140894322804346,0.11829110765121234,0.12377727448325183
41,10.0,1000.0,99.0,0.0,-0.3,-0.30897811687120863,0.3750538648964358,0.10513732757822095,0.412097926350408,-0.03300688348452809,0.2033960133919656,0.12350462854571458,0.12688743141285347
42,10.0,1000.0,99.0,0.0,-0.3,-0.3047372296042872,0.35830037347614113,0.17255457602739005,0.40744484834366057,-0.04215595304875158,0.1988320873218408,0.12497785745493124,0.12889345094253288
43,10.0,1000.0,99.0,0.0,-0.3,-0.2782757844641053,0.38500855638669246,0.28545124908505426,0.4183341241748493,-0.07442204944744399,0.22146042629675525,0.14662678411170543,0.14338424972989117
44,10.0,1000.0,99.0,0.0,-0.3,-0.3091485709463572,0.3712386128160185,0.4226053816187537,0.4007754311315697,-0.13455585631877084,0.23792852143604407,0.17004776430533655,0.14791421505522984
45,10.0,1000.0,99.0,0.1,-0.3,-0.2923013241753285,0.3835379052267629,-0.4090058723344271,0.4162348138766731,0.11943312013019015,0.26691141901496895,0.16162976211830954,0.15092392663546692
